   Time[s]           u[ft/s]           v[ft/s]           w[ft/s]           p[rad/s]          q[rad/s]          r[rad/s]          x[ft]             y[ft]             z[ft]             eo                e1                e2                e3
   0.000000000E+00   1.747108964E+02   1.611077051E-01   1.005369234E+01  -4.025535582E-02   4.767795991E-02   8.258064897E-02   0.000000000E+00   0.000000000E+00  -5.000000000E+02   9.467232249E-01   2.536737236E-01   1.916450817E-01  -5.135114487E-02
   5.000000000E-02   1.742168696E+02   1.753110789E-01   4.818772033E+00  -6.971486407E-03  -8.194509777E-01   8.250612348E-02   8.193035539E+00  -2.067250778E-01  -5.030123250E+02   9.490137603E-01   2.529761554E-01   1.807320475E-01  -5.207566162E-02
   1.000000000E-01   1.736362455E+02   1.985986383E-01  -2.082157503E+00   8.779311534E-03  -8.878199337E-01   8.278371965E-02   1.635847216E+01  -3.758478422E-01  -5.060034313E+02   9.529776127E-01   2.521558460E-01   1.585196589E-01  -5.588037947E-02
   1.500000000E-01   1.729421933E+02   2.204722582E-01  -5.004183803E+00   7.142481468E-03  -3.948026148E-01   8.329786834E-02   2.453021210E+01  -5.627499627E-01  -5.088836023E+02   9.555235744E-01   2.517395103E-01   1.422215721E-01  -5.809425175E-02
   2.000000000E-01   1.723756585E+02   2.443796398E-01  -3.208319894E+00  -3.676478959E-03   1.063049377E-01   8.379137083E-02   3.271897985E+01  -7.900162388E-01  -5.116150502E+02   9.560700558E-01   2.518973630E-01   1.387132658E-01  -5.688933854E-02
   2.500000000E-01   1.718412386E+02   2.698917798E-01   3.876176626E-01  -1.307115823E-02   2.509130589E-01   8.422792459E-02   4.091660157E+01  -1.042835754E+00  -5.142222015E+02   9.555026391E-01   2.522716102E-01   1.432075672E-01  -5.352881440E-02
   3.000000000E-01   1.712701767E+02   2.915854460E-01   2.574217283E+00  -1.541303607E-02   5.476345645E-02   8.489516767E-02   4.910926392E+01  -1.292694577E+00  -5.167528552E+02   9.550926130E-01   2.524453565E-01   1.467326219E-01  -5.038829515E-02
   3.500000000E-01   1.707259972E+02   3.130572428E-01   2.262535025E+00  -1.224126769E-02  -2.251427761E-01   8.531042455E-02   5.728846670E+01  -1.522614479E+00  -5.192354157E+02   9.556146142E-01   2.523104198E-01   1.440528948E-01  -4.887662641E-02
   4.000000000E-01   1.702071503E+02   3.317225835E-01   5.349775409E-01  -8.650532644E-03  -3.599399776E-01   8.603307611E-02   6.545563405E+01  -1.735457381E+00  -5.216652796E+02   9.568630215E-01   2.519894745E-01   1.361598389E-01  -4.873357189E-02
   4.500000000E-01   1.696885381E+02   3.484700719E-01  -8.939411016E-01  -8.209867769E-03  -3.044984970E-01   8.680491855E-02   7.361766237E+01  -1.944934098E+00  -5.240195657E+02   9.581512811E-01   2.516599135E-01   1.274045812E-01  -4.880044173E-02
   5.000000000E-01   1.691857344E+02   3.618114654E-01  -1.116324319E+00  -1.094707015E-02  -1.638419031E-01   8.765243178E-02   8.177966385E+01  -2.162120344E+00  -5.262796305E+02   9.590460051E-01   2.514196041E-01   1.212430438E-01  -4.815669440E-02
   5.500000000E-01   1.687060533E+02   3.713033799E-01  -3.854456370E-01  -1.449686800E-02  -6.634534816E-02   8.848983866E-02   8.994215588E+01  -2.388560488E+00  -5.284428233E+02   9.595546908E-01   2.512476603E-01   1.181092532E-01  -4.668632348E-02
   6.000000000E-01   1.682395863E+02   3.766124315E-01   4.646361941E-01  -1.651911001E-02  -6.633259542E-02   8.927878140E-02   9.810264881E+01  -2.618481378E+00  -5.305189912E+02   9.599287620E-01   2.510638017E-01   1.161441948E-01  -4.488056747E-02
   6.500000000E-01   1.677852568E+02   3.778040696E-01   8.006688820E-01  -1.633487817E-02  -1.316128467E-01   9.003890895E-02   1.062584815E+02  -2.845341298E+00  -5.325193763E+02   9.604090393E-01   2.508169769E-01   1.132760267E-01  -4.328814129E-02
   7.000000000E-01   1.673462426E+02   3.752613517E-01   5.625692439E-01  -1.485709930E-02  -1.953855633E-01   9.079708583E-02   1.144087035E+02  -3.066655929E+00  -5.344483118E+02   9.610641319E-01   2.505156245E-01   1.087387911E-01  -4.211331913E-02
   7.500000000E-01   1.669215156E+02   3.692092605E-01   1.085676280E-01  -1.342344289E-02  -2.145870897E-01   9.156273654E-02   1.225541249E+02  -3.284336837E+00  -5.363025632E+02   9.618004685E-01   2.502009518E-01   1.031629870E-01  -4.119151176E-02
   8.000000000E-01   1.665110047E+02   3.597048615E-01  -1.758730227E-01  -1.272723973E-02  -1.915370541E-01   9.231867425E-02   1.306960928E+02  -3.501866926E+00  -5.380761322E+02   9.624905299E-01   2.499095580E-01   9.766655364E-02  -4.022980223E-02
   8.500000000E-01   1.661163852E+02   3.469375117E-01  -1.521806421E-01  -1.256197272E-02  -1.567372218E-01   9.303012387E-02   1.388353644E+02  -3.721365660E+00  -5.397653348E+02   9.630750055E-01   2.496539176E-01   9.292092596E-02  -3.905325512E-02
   9.000000000E-01   1.657376962E+02   3.312942532E-01   6.084769720E-02  -1.227249936E-02  -1.384031156E-01   9.367091852E-02   1.469718518E+02  -3.942596124E+00  -5.413705767E+02   9.635732987E-01   2.494261910E-01   8.884185895E-02  -3.768550624E-02
